Day	RS	recoding	mi_grazing	mi_rumination	snr_grazing	snr_rumination
5	1	4	0.5043578997125887	0.3001069537821826	10.415073990671766	4.757151392322254
5	1	5				
5	2	1	0.3242361060779612	0.2747487742531256	6.948329566507787	5.050989314636368
5	2	2	0.3890091843539163	0.2924502973409725	7.267178414691325	3.9807259830170896
5	2	3				
5	2	4				
5	3	1	0.4114728090133234		9.708907302253095	
5	3	2	0.3631474762233374	0.2513445766774786	8.401735139801094	4.959672314849573
5	3	3	0.5034847424760497	0.2155840812962537	10.311008598030366	4.094025708603785
5	3	4	0.4795691039975961	0.2257869641871669	10.1341353834027	4.23175012323118
5	3	5				
5	4	1	0.6158339076854596	0.3221127979377462	10.143629834643086	5.702399029511625
5	4	2	0.5927807491848761	0.330413732509691	10.33401609208093	6.577186028819653
5	4	3	0.6523381449743162	0.3334441353602365	10.53564389260014	6.2114603656617735
5	4	4	0.5866933524566181	0.2129002335120343	9.98791988121152	3.4574639569634456
5	4	5	0.5490647974932196		10.129158087466784	
5	5	1	0.2362902058319293	0.3476710996171738	3.3155195154802968	4.141314547714946
5	5	2	0.2519361089288363	0.2571077741177319	3.7594123826351633	1.2237612172408263
5	5	3	0.4054945914135323	0.2561206845466554	7.1292264727128485	0.6785637487212292
5	5	4	0.3028867251575318	0.2416695654698545	8.31266602494718	0.3561778359934313
5	5	5				
6	1	1	0.4061715587563886		10.034946163951933	
6	1	2	0.525817585876439	0.3833134252801339	10.235641736700622	5.035638006155138
6	1	3	0.4475124583178523	0.3891987561725692	8.425854906853331	2.863168632158652
6	1	4	0.4060289724128272	0.3033617890534966	8.447709006385285	2.4803285315179777
6	1	5				
6	2	1	0.2523409623436744	0.2356477920552537	5.339371854230073	3.0151287133123343
6	2	2	0.3409170125112544	0.2604558787180583	6.135288104897621	3.06856873599593
6	2	3	0.3529812292864979	0.2713726016491953	6.805376642330787	2.6646835802186337
6	2	4	0.3355020623816543	0.2700130995885283	6.197901788699006	3.3404453107966896
6	2	5	0.4590947158558869	0.4243489656855954	7.6057878460184	7.253575768361178
6	3	1				
6	3	2	0.5446459576267199	0.4487982108057723	10.55041160597851	9.788023932520074
6	3	3	0.5855714792375116	0.4725385086624801	10.826824216501365	9.717269417133265
6	3	4	0.5118728151680652	0.5304408324609591	10.240173968273202	10.36830557426666
6	4	1	0.6298886103304975		10.635624397745298	
6	4	2	0.591011047334067		10.54748719172497	
6	4	3	0.5445976174684695	0.2910244759940225	9.90752915196395	5.074691083549268
6	4	4	0.4161533653387826	0.32796588046516	8.453381180669659	4.521037719958812
6	5	1	0.4330359252532667	0.2880077133917202	7.955290781089003	3.3783275397314285
6	5	2	0.4403930891861916	0.1990108605466028	9.128157853759234	1.7146551603169586
6	5	3	0.4885633344348722	0.2309135787098906	9.791092121636952	2.343432041758837
6	5	4	0.369764606382721	0.1895706240801624	7.7832032529744355	2.0692720717296167
6	5	5				
